ID,microbe,plant,nitrogen,date,height,chlorophyll,leaves
1,lib,yes,yes,8/30/2022,50.038,65.3,61
1,lib,yes,yes,8/30/2022,43.942,50.4,68
1,lib,yes,yes,8/30/2022,46.736,63.2,55
2,lib,yes,yes,9/2/2022,34.544,71.5,46
2,lib,yes,yes,9/2/2022,10.668,42.4,6
2,lib,yes,yes,9/2/2022,58.166,67.5,55
3,lib,yes,yes,9/5/2022,27.94,55.5,51
3,lib,yes,yes,9/5/2022,67.945,43.9,53
3,lib,yes,yes,9/5/2022,60.325,58.6,79
4,lib,yes,yes,9/25/2022,44.704,36.5,41
4,lib,yes,yes,9/25/2022,38.1,47.1,117
4,lib,yes,yes,9/25/2022,46.99,35.1,161
5,lib,yes,yes,9/27/2022,46.99,51.9,68
5,lib,yes,yes,9/27/2022,70.612,48.7,86
5,lib,yes,yes,9/27/2022,85.09,37.4,118
6,lib,yes,no,9/1/2022,50.546,61.3,47
6,lib,yes,no,9/1/2022,43.942,65,64
6,lib,yes,no,9/1/2022,62.992,61.7,67
7,lib,yes,no,9/4/2022,50.8,60.5,41
7,lib,yes,no,9/4/2022,4.064,9.2,5
7,lib,yes,no,9/4/2022,6.096,5.9,7
8,lib,yes,no,9/5/2022,49.2125,67.6,120
8,lib,yes,no,9/5/2022,45.085,72,86
8,lib,yes,no,9/5/2022,32.54375,55,24
9,lib,yes,no,9/24/2022,24.13,41.3,32
9,lib,yes,no,9/24/2022,47.752,47,67
9,lib,yes,no,9/24/2022,46.482,45.9,146
10,lib,yes,no,10/2/2022,57.912,29.9,95
10,lib,yes,no,10/2/2022,57.404,42.2,98
10,lib,yes,no,10/2/2022,29.21,56.6,298
21,wt,yes,yes,9/10/2022,39.37,52.1,62
21,wt,yes,yes,9/10/2022,30.48,54.6,53
21,wt,yes,yes,9/10/2022,67.056,54.2,64
22,wt,yes,yes,9/10/2022,65.532,49,92
22,wt,yes,yes,9/10/2022,43.18,37.6,59
22,wt,yes,yes,9/10/2022,50.546,62.7,108
23,wt,yes,yes,10/5/2022,18.034,40.5,15
23,wt,yes,yes,10/5/2022,39.37,39.7,75
23,wt,yes,yes,10/5/2022,60.706,45.6,234
24,wt,yes,yes,10/5/2022,40.132,43.4,10
24,wt,yes,yes,10/5/2022,60.198,53.5,95
24,wt,yes,yes,10/5/2022,57.912,38.4,171
25,wt,yes,yes,10/8/2022,54.356,45.6,135
25,wt,yes,yes,10/8/2022,53.848,46.2,66
25,wt,yes,yes,10/8/2022,54.61,46,146
26,wt,yes,no,9/10/2022,59.182,45.5,215
26,wt,yes,no,9/10/2022,47.498,39.3,50
26,wt,yes,no,9/10/2022,36.322,75.8,51
27,wt,yes,no,9/10/2022,63.246,54.3,101
27,wt,yes,no,9/10/2022,57.15,54.6,95
27,wt,yes,no,9/10/2022,60.452,49.3,61
28,wt,yes,no,10/5/2022,33.02,47.4,89
28,wt,yes,no,10/5/2022,59.182,45,118
28,wt,yes,no,10/5/2022,49.53,63.9,101
29,wt,yes,no,10/8/2022,38.1,39.2,68
29,wt,yes,no,10/8/2022,56.388,48.6,173
29,wt,yes,no,10/8/2022,35.814,49.3,109
30,wt,yes,no,10/8/2022,39.37,39.1,27
30,wt,yes,no,10/8/2022,52.832,37.6,107
30,wt,yes,no,10/8/2022,64.262,48,125
31,pbs,yes,no,9/6/2022,14.478,18.3,5
31,pbs,yes,no,9/6/2022,8.89,12.1,4
31,pbs,yes,no,9/6/2022,4.572,16.4,3
32,pbs,yes,no,9/6/2022,17.272,6.2,9
32,pbs,yes,no,9/6/2022,13.208,23,11
32,pbs,yes,no,9/6/2022,6.35,11.6,2
33,pbs,yes,no,9/6/2022,12.192,6.4,6
33,pbs,yes,no,9/6/2022,13.462,8,11
33,pbs,yes,no,9/6/2022,14.224,5.4,12
34,pbs,yes,no,9/6/2022,14.478,10.7,16
34,pbs,yes,no,9/6/2022,11.684,8.8,7
34,pbs,yes,no,9/6/2022,9.906,10.1,8
35,pbs,yes,no,9/6/2022,11.938,6.2,10
35,pbs,yes,no,9/6/2022,8.382,13.5,8
35,pbs,yes,no,9/6/2022,9.398,7.1,5
