Barseq_Name,Description,Barseq_Index,Subpop,Nitrogen_addition,plantID,date,Harvested_by,height,chlorophyll,leaves,dead.leaves,dry.biomass,nodule.count,nodule.biomass
setAIT021 Lib Nod +N,Lib Nod +N,IT021,Undiff,1,1,8/30/22,Caleb,46.9,59.6,184,10,3.88,184,0.1324
setAIT022 Lib Nod +N,Lib Nod +N,IT022,Undiff,1,2,9/2/22,Caleb,34.5,60.5,107,6,2.18,122,0.2823
setAIT023 Lib Nod +N,Lib Nod +N,IT023,Undiff,1,3,9/5/22,John,52.1,52.7,183,20,5.3,354,0.3377
setAIT024 Lib Nod +N,Lib Nod +N,IT024,Undiff,1,4,9/25/22,Caleb,43.3,39.6,319,107,6.48,386,0.3302
setAIT025 Lib Nod +N,Lib Nod +N,IT025,Undiff,1,5,9/27/22,Caleb,67.6,46,272,103,5.43,397,0.5527
setAIT026 Lib Nod --,Lib Nod --,IT026,Undiff,0,6,9/1/22,Caleb,52.5,62.7,174,10,4.16,296,0.4547
setAIT027 Lib Nod --,Lib Nod --,IT027,Undiff,0,7,9/4/22,Caleb,20.3,25.2,53,9,0.92,72,0.0907
setAIT028 Lib Nod --,Lib Nod --,IT028,Undiff,0,8,9/5/22,John,42.3,64.9,230,15,4.92,351,0.3623
setAIT029 Lib Nod --,Lib Nod --,IT029,Undiff,0,9,9/24/22,Caleb,39.5,44.7,245,136,3.86,391,0.187
setAIT030 Lib Nod --,Lib Nod --,IT030,Undiff,0,10,10/2/22,Caleb,47.3,42.9,491,118,6.37,543,0.4598
setAIT031 Lib Bact +N,Lib Bact +N,IT031,Bacteroid,1,1,8/30/22,Caleb,46.9,59.6,184,10,3.88,184,0.1324
setAIT032 Lib Bact +N,Lib Bact +N,IT032,Bacteroid,1,2,9/2/22,Caleb,34.5,60.5,107,6,2.18,122,0.2823
setAIT033 Lib Bact +N,Lib Bact +N,IT033,Bacteroid,1,3,9/5/22,John,52.1,52.7,183,20,5.3,354,0.3377
setAIT034 Lib Bact +N,Lib Bact +N,IT034,Bacteroid,1,4,9/25/22,Caleb,43.3,39.6,319,107,6.48,386,0.3302
setAIT035 Lib Bact +N,Lib Bact +N,IT035,Bacteroid,1,5,9/27/22,Caleb,67.6,46,272,103,5.43,397,0.5527
setAIT036 Lib Bact --,Lib Bact --,IT036,Bacteroid,0,6,9/1/22,Caleb,52.5,62.7,174,10,4.16,296,0.4547
setAIT037 Lib Bact --,Lib Bact --,IT037,Bacteroid,0,7,9/4/22,Caleb,20.3,25.2,53,9,0.92,72,0.0907
setAIT038 Lib Bact --,Lib Bact --,IT038,Bacteroid,0,8,9/5/22,John,42.3,64.9,230,15,4.92,351,0.3623
setAIT039 Lib Bact --,Lib Bact --,IT039,Bacteroid,0,9,9/24/22,Caleb,39.5,44.7,245,136,3.86,391,0.187
setAIT040 Lib Bact --,Lib Bact --,IT040,Bacteroid,0,10,10/2/22,Caleb,47.3,42.9,491,118,6.37,543,0.4598
setAIT041 Time0,Time0,IT041,t0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
setAIT042 Time0,Time0,IT042,t0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
setAIT043 Time0,Time0,IT043,t0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
setAIT044 Time0,Time0,IT044,t0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
setAIT045 Time0,Time0,IT045,t0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
