Name,Sequence Name,Type,Minimum,Maximum,Length,Direction,locus_tag,old_locus_tag
ugpC,NC_003078.1,gene,1784,2142,359,forward,SM_RS17135,SM_b20002
WP_010974930.1,NC_003078.1,CDS,1784,2142,359,forward,SM_RS17135,SM_b20002
SM_RS17140,NC_003078.1,gene,<2163,>2420,>258,forward,SM_RS17140,SM_b20003
WP_010974931.1,NC_003078.1,CDS,<2163,>2420,>258,forward,SM_RS17140,SM_b20003
SM_RS17145,NC_003078.1,gene,<2424,>2724,>301,reverse,SM_RS17145,SM_b20004
WP_010974932.1,NC_003078.1,CDS,<2424,>2724,>301,reverse,SM_RS17145,SM_b20004
SM_RS17150,NC_003078.1,gene,<2764,>2966,>203,forward,SM_RS17150,SM_b20005
WP_010974933.1,NC_003078.1,CDS,<2764,>2966,>203,forward,SM_RS17150,SM_b20005
SM_RS17155,NC_003078.1,gene,<3030,>3346,>317,forward,SM_RS17155,SM_b20006
WP_010974934.1,NC_003078.1,CDS,<3030,>3346,>317,forward,SM_RS17155,SM_b20006
SM_RS17160,NC_003078.1,gene,<3386,>4090,>705,forward,SM_RS17160,SM_b20007
WP_010974935.1,NC_003078.1,CDS,<3386,>4090,>705,forward,SM_RS17160,SM_b20007
SM_RS17165,NC_003078.1,gene,<4100,>4454,>355,forward,SM_RS17165,SM_b20008
WP_010974936.1,NC_003078.1,CDS,<4100,>4454,>355,forward,SM_RS17165,SM_b20008
SM_RS17170,NC_003078.1,gene,4451,4760,310,reverse,SM_RS17170,SM_b20009
WP_010974937.1,NC_003078.1,CDS,4451,4760,310,reverse,SM_RS17170,SM_b20009
SM_RS17175,NC_003078.1,gene,<4793,>5147,>355,forward,SM_RS17175,SM_b20010
WP_010974938.1,NC_003078.1,CDS,<4793,>5147,>355,forward,SM_RS17175,SM_b20010
SM_RS17180,NC_003078.1,gene,<5224,>5482,>259,forward,SM_RS17180,SM_b20011
WP_010974939.1,NC_003078.1,CDS,<5224,>5482,>259,forward,SM_RS17180,SM_b20011
SM_RS17185,NC_003078.1,gene,5494,6341,848,reverse,SM_RS17185,SM_b20012
WP_010974940.1,NC_003078.1,CDS,5494,6341,848,reverse,SM_RS17185,SM_b20012
SM_RS17190,NC_003078.1,gene,<6361,>6774,>414,reverse,SM_RS17190,SM_b20013
WP_010974941.1,NC_003078.1,CDS,<6361,>6774,>414,reverse,SM_RS17190,SM_b20013
SM_RS17195,NC_003078.1,gene,6793,7126,334,reverse,SM_RS17195,SM_b20014
WP_010974942.1,NC_003078.1,CDS,6793,7126,334,reverse,SM_RS17195,SM_b20014
SM_RS17200,NC_003078.1,gene,<7132,>7449,>318,reverse,SM_RS17200,SM_b20015
WP_010974943.1,NC_003078.1,CDS,<7132,>7449,>318,reverse,SM_RS17200,SM_b20015
SM_RS17205,NC_003078.1,gene,7449,7779,331,reverse,SM_RS17205,SM_b20016
WP_010974944.1,NC_003078.1,CDS,7449,7779,331,reverse,SM_RS17205,SM_b20016
SM_RS17210,NC_003078.1,gene,<7780,>8280,>501,reverse,SM_RS17210,SM_b20017
WP_010974945.1,NC_003078.1,CDS,<7780,>8280,>501,reverse,SM_RS17210,SM_b20017
SM_RS17215,NC_003078.1,gene,<8365,>8704,>340,reverse,SM_RS17215,SM_b20018
WP_003527931.1,NC_003078.1,CDS,<8365,>8704,>340,reverse,SM_RS17215,SM_b20018
SM_RS17220,NC_003078.1,gene,8736,9114,379,reverse,SM_RS17220,SM_b20019
WP_010974946.1,NC_003078.1,CDS,8736,9114,379,reverse,SM_RS17220,SM_b20019
SM_RS17225,NC_003078.1,gene,<9116,>9807,>692,reverse,SM_RS17225,SM_b20020
WP_010974947.1,NC_003078.1,CDS,<9116,>9807,>692,reverse,SM_RS17225,SM_b20020
SM_RS17230,NC_003078.1,gene,<9848,>10003,>156,forward,SM_RS17230,SM_b20021
WP_010974948.1,NC_003078.1,CDS,<9848,>10003,>156,forward,SM_RS17230,SM_b20021
SM_RS17235,NC_003078.1,gene,10220,10408,189,forward,SM_RS17235,SM_b20022
WP_010974949.1,NC_003078.1,CDS,10220,10408,189,forward,SM_RS17235,SM_b20022
SM_RS17240,NC_003078.1,gene,<10435,>11639,>1205,reverse,SM_RS17240,SM_b20023
WP_010974950.1,NC_003078.1,CDS,<10435,>11639,>1205,reverse,SM_RS17240,SM_b20023
SM_RS17245,NC_003078.1,gene,<11690,>11965,>276,forward,SM_RS17245,SM_b20024
WP_162471708.1,NC_003078.1,CDS,<11690,>11965,>276,forward,SM_RS17245,SM_b20024
SM_RS17250,NC_003078.1,gene,<12050,>12374,>325,forward,SM_RS17250,SM_b20025
WP_010974952.1,NC_003078.1,CDS,<12050,>12374,>325,forward,SM_RS17250,SM_b20025
SM_RS17255,NC_003078.1,gene,<12445,>12597,>153,forward,SM_RS17255,SM_b20026
WP_010974953.1,NC_003078.1,CDS,<12445,>12597,>153,forward,SM_RS17255,SM_b20026
SM_RS17260,NC_003078.1,gene,<12603,>13103,>501,forward,SM_RS17260,SM_b20027
WP_003527915.1,NC_003078.1,CDS,<12603,>13103,>501,forward,SM_RS17260,SM_b20027
SM_RS17265,NC_003078.1,gene,<13126,>13503,>378,reverse,SM_RS17265,SM_b20028
WP_010974954.1,NC_003078.1,CDS,<13126,>13503,>378,reverse,SM_RS17265,SM_b20028
SM_RS17275,NC_003078.1,gene,<13651,>13807,>157,forward,SM_RS17275,SM_b20029
WP_010974955.1,NC_003078.1,CDS,<13651,>13807,>157,forward,SM_RS17275,SM_b20029
SM_RS17280,NC_003078.1,gene,<13809,>14093,>285,forward,SM_RS17280,SM_b20030
WP_010974956.1,NC_003078.1,CDS,<13809,>14093,>285,forward,SM_RS17280,SM_b20030
SM_RS17290,NC_003078.1,gene,<14593,>14812,>220,reverse,SM_RS17290,SM_b20033
WP_010974959.1,NC_003078.1,CDS,<14593,>14812,>220,reverse,SM_RS17290,SM_b20033
SM_RS17295,NC_003078.1,gene,14912,15099,188,forward,SM_RS17295,SM_b20034
WP_010974960.1,NC_003078.1,CDS,14912,15099,188,forward,SM_RS17295,SM_b20034
SM_RS17300,NC_003078.1,gene,<15104,>15529,>426,forward,SM_RS17300,SM_b20035
WP_010974961.1,NC_003078.1,CDS,<15104,>15529,>426,forward,SM_RS17300,SM_b20035
SM_RS17305,NC_003078.1,gene,<15551,>15888,>338,forward,SM_RS17305,SM_b20036
WP_010974962.1,NC_003078.1,CDS,<15551,>15888,>338,forward,SM_RS17305,SM_b20036
SM_RS17310,NC_003078.1,gene,<15916,>16201,>286,forward,SM_RS17310,SM_b20037
WP_010974963.1,NC_003078.1,CDS,<15916,>16201,>286,forward,SM_RS17310,SM_b20037
SM_RS31835,NC_003078.1,gene,<16275,>16349,>75,forward,SM_RS31835,SM_b20038
WP_010974964.1,NC_003078.1,CDS,<16275,>16349,>75,forward,SM_RS31835,SM_b20038
SM_RS17320,NC_003078.1,gene,<16383,>16856,>474,reverse,SM_RS17320,SM_b20039
WP_010974965.1,NC_003078.1,CDS,<16383,>16856,>474,reverse,SM_RS17320,SM_b20039
SM_RS17325,NC_003078.1,gene,<16885,>17170,>286,forward,SM_RS17325,SM_b20040
WP_010974966.1,NC_003078.1,CDS,<16885,>17170,>286,forward,SM_RS17325,SM_b20040
SM_RS17330,NC_003078.1,gene,17235,17411,177,forward,SM_RS17330,SM_b20041
WP_010974967.1,NC_003078.1,CDS,17235,17411,177,forward,SM_RS17330,SM_b20041
SM_RS17335,NC_003078.1,gene,<17420,>17804,>385,reverse,SM_RS17335,SM_b20042
WP_010974968.1,NC_003078.1,CDS,<17420,>17804,>385,reverse,SM_RS17335,SM_b20042
SM_RS17340,NC_003078.1,gene,<17930,>18209,>280,forward,SM_RS17340,SM_b20043
WP_010974969.1,NC_003078.1,CDS,<17930,>18209,>280,forward,SM_RS17340,SM_b20043
repC,NC_003078.1,gene,18364,18800,437,reverse,SM_RS17345,SM_b20044
WP_010974970.1,NC_003078.1,CDS,18364,18800,437,reverse,SM_RS17345,SM_b20044
repB,NC_003078.1,gene,<18853,>19186,>334,reverse,SM_RS17350,SM_b20045
WP_010974971.1,NC_003078.1,CDS,<18853,>19186,>334,reverse,SM_RS17350,SM_b20045
repA,NC_003078.1,gene,<19189,>19586,>398,reverse,SM_RS17355,SM_b20046
WP_010974972.1,NC_003078.1,CDS,<19189,>19586,>398,reverse,SM_RS17355,SM_b20046
SM_RS17360,NC_003078.1,gene,<19710,>19771,>62,forward,SM_RS17360,SM_b20047
WP_010974973.1,NC_003078.1,CDS,<19710,>19771,>62,forward,SM_RS17360,SM_b20047
hutC,NC_003078.1,gene,<19829,>20063,>235,forward,SM_RS17365,SM_b20048
WP_010974974.1,NC_003078.1,CDS,<19829,>20063,>235,forward,SM_RS17365,SM_b20048
SM_RS17370,NC_003078.1,gene,20104,20757,654,forward,SM_RS17370,SM_b20049
WP_010974975.1,NC_003078.1,CDS,20104,20757,654,forward,SM_RS17370,SM_b20049
SM_RS17375,NC_003078.1,gene,<20806,>20974,>169,reverse,SM_RS17375,SM_b20050
WP_010974976.1,NC_003078.1,CDS,<20806,>20974,>169,reverse,SM_RS17375,SM_b20050
SM_RS17380,NC_003078.1,gene,<21008,>21282,>275,reverse,SM_RS17380,SM_b20054
WP_010974977.1,NC_003078.1,CDS,<21008,>21282,>275,reverse,SM_RS17380,SM_b20054
SM_RS17385,NC_003078.1,gene,<21333,>21661,>329,forward,SM_RS17385,SM_b20055
WP_010974978.1,NC_003078.1,CDS,<21333,>21661,>329,forward,SM_RS17385,SM_b20055
SM_RS17395,NC_003078.1,gene,<22216,>22570,>355,forward,SM_RS17395,SM_b20056
WP_010974979.1,NC_003078.1,CDS,<22216,>22570,>355,forward,SM_RS17395,SM_b20056
SM_RS17400,NC_003078.1,gene,22570,22917,348,forward,SM_RS17400,SM_b20057
